X1,anger,disgust,fear,joy,sadness,analytical,confident,tentative,openness,conscientiousness,extraversion,agreeableness,emotional_range
"I really think as the world is getting smaller, it becomes more and more important that we learn each other's dance moves, that we meet each other, we get to know each other, we are able to figure out a way to cross borders, to understand each other, to understand people's hopes and dreams, what makes them laugh and cry. ",0,0,0.02,0.08,0.01,0,0,0,0.28,0.44,0.11,0.5,0.11
"Norman Rockwell hangs in living rooms and bathrooms, and this is not something to be considered high art."" And I think this is one of the most important things to us as humans. ",0,0,0.06,0.08,0.01,0,0,0,0.84,0.55,0.45,0.28,0.19
"(Laughter) And Samir, on the other hand, was also quite an interesting character for the Arab world to see, because it brought out the complexities of this love-hate relationship that the Arab world has with the West.In the United States, I was blown away by the motivations, the positive motivations of the American people when they'd see this film. ",0,0,0,0.08,0.01,0,0,0,0.79,0.25,0.45,0.24,0.31
"It also means that if an artist wants to invade something like a swimming pool, they can begin to do their exhibition in a swimming pool, so they're not forced to always work within the confines of a contemporary gallery space.So, how to build this. ",0,0,0.04,0.08,0.01,0,0,0,0.38,0.11,0.11,0.18,0.37
"XML are the nubs on the Lego that allow us to combine the content together in a myriad different ways, and it provides us a framework to share content. ",0,0,0,0.08,0.01,0,0,0,0.87,0.82,0.7,0.17,0.89
" They put it in a little tiny glass jar, with a wonderful enameled label on it, made it look French, even though it's made in Oxnard, California.(Laughter)And instead of charging a dollar fifty for the eight-ounce bottle, the way that French's and Gulden's did, they decided to charge four dollars. ",0,0,0,0.08,0.01,0,0,0,0.72,0.63,0.31,0.1,0.77
"They said, ""Well, we also believe that if you're a Mormon, and if you're in good standing with the church, when you die, you get to go to heaven and be with your family for all eternity."" And I said, ""Oh, dear.(Laughter)That wouldn't be such a good incentive for me.""(Laughter)And they said, ""Oh.(Laughter)Hey! Well, we also believe that when you go to heaven, you get your body restored to you in its best original state. ",0,0,0,0.08,0,0,0,0,0.55,1,0.95,1,0.88
"They're now saying that the 21st century is going to be the century of what they call the ""symmetrical marriage,"" or the ""pure marriage,"" or the ""companionate marriage."" This is a marriage between equals, moving forward to a pattern that is highly compatible with the ancient human spirit.We're also seeing a rise of romantic love. ",0,0,0.01,0.08,0,0,0,0,0.99,0.71,0.68,0.18,0.63
"Statistics, he doesn't say it's impossible. ",0.02,0.01,0.11,0.07,0.68,0.56,0,0,0.06,0.23,0.17,0.46,0.1
It has to feel like nothing. ,0.04,0.01,0.08,0.07,0.56,0,0,0,0.09,0.31,0.06,0.57,0.14
This keyboard is probably actually the really wrong direction to go. ,0.07,0.05,0.29,0.07,0.53,0,0,0,0.06,0.01,0.01,0.05,0.05
"We feel the problems right now, and have for some time. ",0.02,0,0.13,0.07,0.46,0,0,0,0.36,0.98,0.46,0.78,0.59
 They felt pretty stupid. ,0.56,0.09,0.12,0.07,0.42,0,0,0,0.21,0.25,0.46,0.59,0.08
And there are several reasons for this. ,0.11,0.05,0.09,0.07,0.42,0,0,0,0.88,0.49,0.76,0.69,0.35
V and the Aravind Eye Hospital. ,0.02,0.14,0.34,0.07,0.42,0,0,0,0.07,0.21,0.14,0.5,0.1
"It's about 300 pages long, hardbound. ",0.03,0.03,0.01,0.07,0.34,0,0,0,0.64,0.29,0.55,0.51,0.03
There's no reason to have a big argument about it. ,0.43,0.01,0.05,0.07,0.31,0,0,0,0.14,0.03,0.29,0.27,0.21
We pushed them around on the site to make very literal contextual relationships. ,0.02,0.01,0.05,0.07,0.3,0,0,0,0.27,0.31,0.59,0.18,0.41
'What am I mostly made of?,0.01,0.07,0.19,0.07,0.3,0,0,0,0.79,0.16,0.06,0.58,0.01
"He said, ""I want you to make me famous. ",0.14,0.01,0.01,0.07,0.27,0,0,0,0.39,0.63,0.3,0.83,0.39
"Even during rush hour, it goes virtually unused. ",0.06,0.03,0.2,0.07,0.27,0,0,0.86,0.02,0.35,0.18,0.15,0.58
"And he's basically taking a picture of his family every day for the past, what is '76?",0.01,0,0.04,0.07,0.27,0,0,0,0.36,0.49,0.21,0.35,0.53
I'm still on hold. ,0.09,0.03,0.12,0.07,0.24,0,0,0,0.17,0.24,0.46,0.53,0.07
I got to see the last case of killer smallpox in the world. ,0,0.02,0.03,0.07,0.24,0,0,0,0.53,0.82,0.04,0.23,0.67
"Somebody else's is three seconds, which is what I have. ",0.13,0.02,0.04,0.07,0.23,0,0,0.79,0.54,0.07,0.02,0.3,0.19
" What about copying, reusing?",0.04,0,0.05,0.07,0.23,0,0,0,0.59,0.23,0.57,0.5,0.1
""" I said, ""You don't copy Apple, that's for sure. ",0.02,0,0.03,0.07,0.23,0,0,0,0.45,0.82,0.24,0.89,0.95
I will give points for those who know it. ,0.14,0.01,0.03,0.07,0.21,0,0,0,0.62,0.84,0.19,0.9,0.88
My mother took me there. ,0.32,0.14,0.08,0.07,0.2,0,0,0,0.29,0.37,0.71,0.74,0.21
It's not hard to guess Google would be one. ,0.02,0.01,0.07,0.07,0.2,0,0,0,0.21,0.4,0,0.6,0.75
" What does ""mixing"" mean?",0.08,0.06,0.04,0.07,0.19,0,0,0,0.72,0.29,0.49,0.54,0.4
"She went over to her, and she said, ""What are you drawing?",0.02,0.01,0.06,0.07,0.19,0,0,0,0.79,0.74,0.73,0.97,0.41
The number of Internet users are going up like this. ,0.02,0,0.05,0.07,0.19,0,0,0,0.38,0.57,0.78,0.03,0.85
"One effect, paradoxically, is that it produces paralysis, rather than liberation. ",0.01,0,0.06,0.07,0.19,0,0,0,0.96,0.05,0.02,0.04,0.08
" People really want to know about administrators, things like that. ",0.11,0.01,0.14,0.07,0.18,0,0,0,0.3,0.21,0.16,0.68,0
Howard is not so easily placated. ,0.04,0.15,0.02,0.07,0.18,0,0,0,0.08,0.14,0.4,0.45,0.02
"Sort of, any activity could happen anywhere. ",0.02,0.02,0.08,0.07,0.18,0,0,0.89,0.31,0.14,0.3,0.59,0.02
"Science, as opposed to technology, does violence to common sense. ",0.08,0.01,0.1,0.07,0.17,0,0,0,0.39,0.31,0.59,0.59,0.48
"Crime rates dropped, because the streets were alive with people. ",0.07,0.09,0.07,0.07,0.17,0,0,0,0.86,0.38,0.77,0.53,0.73
I still wear sandals in any weather. ,0.05,0.03,0.1,0.07,0.17,0,0,0,0.22,0.24,0.43,0.56,0.14
It was all coming into my laptop and cell phone. ,0.04,0,0.12,0.07,0.17,0,0,0,0.1,0.43,0.44,0.24,0.5
"Most of the time, you want to print one copy of your document, in page order, on that printer. ",0.02,0,0,0.07,0.17,0,0,0.17,0.82,0.97,0.28,0.55,0.94
How much money does he spend on beer in a year?,0.02,0.02,0.05,0.07,0.17,0,0,0,0,0.09,0.81,0.33,0.78
"So, our first year of marriage we went to 11 percent, second year we went to 12 percent, and the third year we went to 13 percent, and on and on and on. ",0,0,0.04,0.07,0.17,0,0,0,0.08,0.9,0.53,0.37,0.88
"I just learned recently: in South Africa, no white Volvos are stolen. ",0.2,0.01,0.02,0.07,0.16,0,0,0,0.19,0.13,0.34,0.25,0.23
"Over time, people do what you pay them to do. ",0.05,0.05,0.03,0.07,0.16,0,0,0,0.01,0.53,0.57,0.66,0.73
" Like, am I going to use one page?",0.05,0.02,0.05,0.07,0.16,0,0,0,0.06,0.07,0.02,0.33,0.11
 Where are the different countries?,0.04,0.03,0.06,0.07,0.16,0,0,0,0.71,0.27,0.55,0.55,0.34
I don't have much time to do it. ,0.02,0.02,0.04,0.07,0.16,0,0,0,0,0.39,0.13,0.68,0.31
"And as others like him pursued their own version of the American dream, white flight became common in the South Bronx and in many cities around the country. ",0,0,0.01,0.07,0.16,0,0,0,0.87,0.11,0.78,0.06,0.75
"It's a weird, kind of freaky place. ",0.05,0.02,0.16,0.07,0.15,0,0,0,0.88,0.09,0.46,0.59,0.03
I call the first four needs the needs of the personality. ,0.04,0.01,0.06,0.07,0.15,0,0,0,0.88,0.4,0.29,0.15,0.62
And the third thing: it's a symbol of his influence. ,0.04,0.01,0.1,0.07,0.15,0,0,0,0.96,0.23,0.34,0.08,0.69
""" He said, ""I'm a tap counter."" I'm like, ""You're a what?",0.03,0.01,0.02,0.07,0.15,0,0,0,0.47,0.03,0.34,0.29,0.46
"Like, I get hundreds of them a day; period. ",0.01,0.01,0.19,0.07,0.15,0,0,0.5,0.35,0.62,0.02,0.71,0.18
"And then eventually, the community, through skills training, end up building the building with us.Here is another school. ",0.01,0,0.04,0.07,0.15,0,0,0,0.43,0.72,0.36,0.36,0.69
"For millions of years, on the grasslands of Africa, women commuted to work to gather their vegetables. ",0.01,0.02,0.05,0.07,0.15,0,0,0,0.1,0.42,0.43,0.27,0.43
I still drive the same four year-old Ford that I've driven. ,0.12,0.02,0.05,0.07,0.14,0,0,0,0.13,0.02,0.21,0.08,0.42
They help me plan out the whole piece. ,0.05,0.01,0.03,0.07,0.14,0,0,0,0.82,0.79,0.44,0.45,0.23
A lot of companies don't understand that.Three weeks ago I was with Sony in Tokyo. ,0.02,0.01,0.05,0.07,0.14,0,0,0,0.42,0.05,0.17,0.21,0.27
"And you wouldn't be in this room if you bought that, but most of society thinks biography is destiny. ",0.01,0.02,0.02,0.07,0.14,0,0,0,0.96,0.52,0.48,0.89,0.48
 I think this is rather important. ,0.06,0.04,0.18,0.07,0.13,0,0,0,0.76,0.05,0.03,0.61,0
" And I got to go talk to one professor, Dr. ",0.03,0.01,0.13,0.07,0.13,0,0,0,0.01,0.37,0.44,0.61,0.35
It's a chance for people to get to play with crayons and all that kind of stuff. ,0.02,0.01,0.04,0.07,0.13,0,0,0,0.81,0.68,0.39,0.49,0.56
But we wound up in India. ,0.01,0.01,0.18,0.07,0.13,0,0,0,0.21,0.23,0.24,0.58,0.08
"And I asked them, I said, ""What's in your hand?",0.08,0.09,0.21,0.07,0.12,0,0,0,0.65,0.48,0.45,0.92,0.56
We're in a culture of guru-ship. ,0.05,0.02,0.03,0.07,0.12,0,0,0,0.86,0.38,0.77,0.57,0.47
Your assets are tied up in your flocks. ,0.05,0.02,0.04,0.07,0.12,0,0,0,0.51,0.37,0.81,0.52,0.63
But freely licensed textbooks are the next big thing in education.,0.03,0.02,0.13,0.07,0.12,0,0,0,0.78,0.44,0.48,0.22,0.57
"It lets you interconnect ideas, indicating how fields relate to each other. ",0.01,0.01,0.06,0.07,0.12,0,0,0,0.42,0.56,0.86,0.86,0.46
"But they have a different map.And there are seven different beliefs; I can't go through them, because I'm done. ",0.01,0.01,0.03,0.07,0.12,0,0,0,0.91,0.36,0.05,0.47,0.06
"Dogs can distinguish two very similar fatty acids, extremely diluted: caprylic acid and caproic acid. ",0.01,0.01,0.06,0.07,0.12,0,0,0,0.77,0.07,0.17,0.37,0
"Anyone is allowed to mix them in different types of ways, draw connections between musical ideas, and people can burn them or create final products and continue the circle. ",0.01,0,0.01,0.07,0.12,0,0,0.29,0.92,0.11,0.65,0.06,0.09
"I was in India this past year, and I may have seen the last cases of polio in the world. ",0,0,0.04,0.07,0.12,0,0,0,0.33,0.43,0.06,0.31,0.3
They're a sort of ectosymbiont. ,0.11,0.11,0.04,0.07,0.11,0,0,0,0.79,0.03,0.2,0.25,0
""" And I said, ""So, you're six. ",0.06,0.01,0.12,0.07,0.11,0,0,0,0.22,0.11,0.33,0.78,0.03
It doesn't come from salary. ,0.04,0.08,0.07,0.07,0.11,0,0,0,0.04,0.22,0.42,0.58,0.26
"The fact that nobody told us we couldn't do it, we did it. ",0.03,0.03,0.06,0.07,0.11,0,0,0,0.09,0.8,0.09,0.69,0.9
"There's only one other person here, I think, who did that. ",0.03,0.02,0.09,0.07,0.11,0,0,0,0.58,0.04,0.01,0.53,0.07
You could never afford to do this in a company. ,0.02,0.01,0.03,0.07,0.11,0,0,0,0,0.43,0.4,0.85,0.78
"And on it, it says, in Latin: ""Semen est verbum Dei. ",0.02,0.01,0.05,0.07,0.11,0,0,0,0.69,0.25,0.72,0.2,0.24
"In this case, the hand would move, and we'd see it waving at us in Middle World. ",0.01,0.02,0.12,0.07,0.11,0,0,0,0.44,0.7,0.48,0.85,0.46
"When the rain comes down, you can't hear a thing, and in the summer, it's about 140 degrees inside. ",0.01,0,0.11,0.07,0.11,0,0,0,0.28,0.04,0.16,0.16,0.06
 Is he endorsing creationism here?,0.05,0.06,0.07,0.07,0.1,0,0,0,0.7,0.32,0.36,0.54,0.08
"You'd think it would be otherwise, but it isn't. ",0.04,0.03,0.12,0.07,0.1,0,0,0,0.51,0.25,0.18,0.72,0.35
We considered this to be one of the lead parts. ,0.04,0.01,0.12,0.07,0.1,0,0,0,0.82,0.8,0.07,0.38,0.74
"And as long as you teach them that, you can teach them anything else you like. ",0.02,0.01,0.01,0.07,0.1,0,0,0,0.51,0.91,0.68,0.86,0.78
She turned out to be a much bigger dog than I'd anticipated. ,0.02,0.04,0.12,0.07,0.1,0,0,0,0.46,0,0.16,0.26,0.19
"If you engage in that type of behavior, you'll be asked to leave the community.So, real-time peer review. ",0.01,0,0.01,0.07,0.1,0,0,0,0.67,0.81,0.82,0.85,0.72
"In fact, Solzhenitsyn once said, ""To have a great writer is to have another government.""Today 54 percent of people who are writers in America are women. ",0.01,0,0.02,0.07,0.1,0,0,0,0.82,0.93,0.81,0.74,0.73
"Already, we can see that Apple and Microsoft have a severely divergent approach to software design. ",0.01,0,0.04,0.07,0.1,0,0,0,0.48,0.72,0.22,0.12,0.65
"And you know, there's a new version of Windows coming out this fall. ",0.01,0,0.11,0.07,0.1,0,0,0,0.73,0.47,0.04,0,0.5
"You can't cure or prevent what you don't know is there.In your TED packages there's a DVD, ""Infinite Vision,"" about Dr. ",0,0,0.02,0.07,0.1,0,0,0,0.34,0.11,0.25,0.36,0.19
It is more valuable than the product in my eyes. ,0,0.01,0.08,0.07,0.1,0,0,0,0.75,0.17,0.34,0.18,0.39
 Is it really the case that gall bladder surgery and a trip to Paris are just the same thing?,0,0,0.11,0.07,0.1,0,0,0,0.66,0.37,0.21,0.14,0.32
And we're the ones that hold the paintbrush. ,0.09,0.02,0.09,0.07,0.09,0,0,0,0.92,0.54,0.46,0.33,0.74
We sized them into five compartments. ,0.07,0.02,0.02,0.07,0.09,0,0,0,0.78,0.44,0.57,0.64,0.46
"Now we have none of those, OK?",0.04,0.03,0.11,0.07,0.09,0,0,0,0.85,0.82,0.09,0.83,0.5
"And that's what I'm now contributing to this.But I want to tell you a story, to illustrate. ",0.02,0.01,0.03,0.07,0.09,0,0,0,0.65,0.43,0.28,1,0.16
"Chris could be interacting with another part of Lava, while I play around with it here. ",0.02,0.01,0.06,0.07,0.09,0,0,0,0.97,0.71,0.83,0.98,0.64
"I found out she wasn't from New York, she's not an American, doesn't know anybody here. ",0.02,0.01,0.03,0.07,0.09,0,0,0,0.73,0.03,0.35,0.83,0.17
"Used to be, there were two mustards: French's and Gulden's. ",0.02,0.01,0.05,0.07,0.09,0,0,0,0.62,0.32,0.4,0.5,0.22
"I know the ropes now, know what the tricks are. ",0.02,0.01,0.04,0.07,0.09,0,0,0,0.78,0.81,0.46,0.45,0.79
"And all of the sudden, it brought a lot of money and a lot of attention. ",0.02,0,0.16,0.07,0.09,0,0,0,0.98,0.2,0.45,0.42,0.15
Efficiency in end-use electricity and end-use of all energy is the low-hanging fruit. ,0.02,0.03,0.08,0.07,0.09,0,0,0,0.49,0.43,0.83,0.16,0.8
"They're only going to get magnified by the very technology that connects us, because it's making us intersect. ",0.01,0,0.12,0.07,0.09,0,0,0,0.49,0.76,0.43,0.76,0.59
This is our home ground.Cameron Sinclair: I'm going to show that later because I'm running out of time. ,0.01,0,0.07,0.07,0.09,0,0,0,0.09,0.32,0.41,0.38,0.03
"And I also like to say she's the only person who actually knows all the rules of Wikipedia, so ... ",0.01,0.01,0.08,0.07,0.09,0,0,0,0.77,0.05,0.01,0.14,0.25
"Now, statisticians don't like it, because they say that this will not show the reality; we have to have statistical, analytical methods. ",0.01,0,0.03,0.07,0.09,0,0,0,0.54,0.97,0,0.1,0.32
"And one of the reasons you can't see it is because it's backlighting most of the time, most cell phones. ",0.01,0,0.09,0.07,0.09,0,0,0,0.28,0.2,0.03,0.02,0.3
"But it should also make us feel vulnerable, because it means that without the specific knowledge that's needed to survive the ongoing challenges of the universe, we won't survive them. ",0,0,0.04,0.07,0.09,0,0,0,0.71,0.81,0,0.36,0.6
It's a very clever adaptation of religions. ,0.11,0.04,0.05,0.07,0.08,0,0,0,0.99,0.17,0.42,0.53,0.05
" Because as I started to say, I don't think you're given money or fame for your own ego, ever. ",0.05,0,0.04,0.07,0.08,0,0,0,0.1,0,0.06,0.03,0.16
"Shouldn't we think about manipulation, rather than elimination?",0.04,0.02,0.07,0.07,0.08,0,0,0,0.82,0.11,0.31,0.35,0.1
And it is true that we did have to lock the articles on a couple of occasions. ,0.03,0.01,0.06,0.07,0.08,0,0,0,0.85,0.99,0.59,0.56,0.91
And it indicates the whole structure of education is shifting beneath our feet. ,0.03,0.01,0.1,0.07,0.08,0,0,0,0.95,0.35,0.53,0.23,0.5
"This is what the computer interface used to look like, DOS. ",0.03,0.01,0.06,0.07,0.08,0,0,0,0.45,0.2,0.39,0.03,0.78
" When I was a student, if you had a degree, you had a job. ",0.02,0.01,0.04,0.07,0.08,0,0,0,0.37,0.4,0.74,0.78,0.89
"And this particular manufacturer said, ""We're not interested in that. ",0.02,0.01,0.04,0.07,0.08,0,0,0,0.96,0.34,0.81,0.68,0.48
"When we didn't search, we had the illusion that there was no disease. ",0.02,0.01,0.04,0.07,0.08,0,0,0,0.74,0.45,0.21,0.41,0.8
"And it's getting worse, because travel is getting so much better.Let me show you a simulation of what a pandemic looks like. ",0.02,0,0.02,0.07,0.08,0.01,0,0,0.55,0.02,0.62,0.26,0.02
"They come back in, because it's normally raining and they prefer to stay in.This is my studio. ",0.01,0,0.12,0.07,0.08,0,0,0,0.42,0.65,0.06,0.41,0.06
"I was with 2,000 people from 45 countries, we were translating four languages simultaneously for a program I was conducting, for a week. ",0.01,0,0.04,0.07,0.08,0,0,0,0.68,0.74,0.29,0.3,0.42
The overwhelming majority of all species and all civilizations that have ever existed are now history. ,0.01,0.01,0.05,0.07,0.08,0,0,0,0.92,0.74,0.32,0.21,0.37
"For my 13th birthday, I planned a slumber party with all of my girlfriends, but a couple of weeks beforehand my mother took me aside and said, ""I need to speak to you privately. ",0,0,0.01,0.07,0.08,0,0,0,0.31,0.96,0.95,0.99,0.65
"But the atoms in the hand could all just happen to move the same way at the same time, and again and again. ",0,0,0.13,0.07,0.08,0,0,0,0.34,0.75,0.12,0.2,0.62
"And the world we now live in looks like this.[The Ten Commandments DYI Kit]And the question is, is this good news, or bad news?",0,0,0.04,0.07,0.08,0,0,0,0.73,0.39,0.37,0,0.44
We are seeing the rise of female sexual expression. ,0.13,0.24,0.03,0.07,0.07,0,0,0,0.93,0.3,0.74,0.52,0.17
"In fact, I'll come to your dorm room, just give me an email. ",0.06,0.02,0.08,0.07,0.07,0,0,0,0.06,0.48,0.81,0.88,0.28
My name is Lovegrove. ,0.05,0.04,0.05,0.07,0.07,0,0,0,0.78,0.21,0.66,0.53,0.28
But the neat thing about it is I can add control points. ,0.05,0.01,0.08,0.07,0.07,0,0,0,0.94,0.33,0.21,0.07,0.82
"And when you tamper with one brain system, you're going to tamper with another. ",0.04,0.01,0.12,0.07,0.07,0,0,0,0.43,0.55,0.96,0.5,0.33
"And the technician said,""Well, ma'am, what do you mean your mouse is squeaking?",0.03,0.02,0.03,0.07,0.07,0,0,0,0.7,0.95,0.9,0.84,0.92
""" All of these are consuming questions. ",0.03,0.02,0.05,0.07,0.07,0,0,0,0.85,0.33,0.57,0.57,0.16
"And so, as long as people trust me in my role, then that's a valid place for me. ",0.02,0,0.02,0.07,0.07,0,0,0,0.24,0.35,0.98,0.74,0.2
"When I showed this in South Africa, everybody afterwards was going, ""Hey, car on a stick. ",0.02,0.01,0.08,0.07,0.07,0,0,0,0.05,0.05,0.87,0.47,0.55
It's the symbol of his own occupation: I am a shepherd. ,0.02,0.01,0.05,0.07,0.07,0,0,0,0.88,0.08,0.06,0.13,0.2
A monkey's brain must have software capable of simulating a three-dimensional world of branches and trunks. ,0.02,0,0.03,0.07,0.07,0,0,0,0.72,0.59,0.06,0.01,0.19
"To get to a typical place, you've got to go 1,000 times as far as that, into intergalactic space. ",0.01,0.01,0.03,0.07,0.07,0,0,0,0.01,0.18,0.62,0.61,0.73
There's so little applied now to actually improving the way we interact with interfaces from this point on. ,0.01,0,0.04,0.07,0.07,0,0,0,0.09,0.04,0.27,0.08,0.04
"You can feel deep attachment to a long-term partner while you feel intense romantic love for somebody else, while you feel the sex drive for people unrelated to these other partners. ",0,0,0.03,0.07,0.07,0,0,0,0.48,0.3,0.98,0.99,0.12
"And the thing that I realized is there was no way that I, as an engineer, could write this book that would get all of this across. ",0,0,0.08,0.07,0.07,0,0,0,0.98,0.76,0.25,0.81,0.66
"In fact, you're free to share it, to do all of these things: to copy it, to change it, even to make commercial use of it, as long as you attribute the author. ",0,0,0,0.07,0.07,0,0,0,0.33,0.93,0.15,0.65,0.9
"We garnered much support along the way, and the Hunts Point Riverside Park became the first waterfront park that the South Bronx had had in more than 60 years. ",0,0,0.01,0.07,0.07,0,0,0,0.42,0.23,0.79,0.25,0.85
""" And the answer is: anybody who wants to pitch in. ",0.13,0.04,0.14,0.07,0.06,0,0,0,0.45,0.3,0.39,0.3,0.41
They don't give you five options on the reduction. ,0.05,0,0.03,0.07,0.06,0,0,0,0.41,0.52,0.79,0.26,0.86
"You take them off your wall, you plug them in. ",0.04,0.01,0.24,0.07,0.06,0,0,0,0.44,0.63,0.87,0.75,0.87
This is not a high-budget building. ,0.04,0.09,0.28,0.07,0.06,0,0,0,0.44,0.33,0.69,0.43,0.77
This is the ancestor of cattle. ,0.04,0.11,0.22,0.07,0.06,0,0,0,0.92,0.29,0.48,0.29,0.4
"So, this woman, her name was Emma, and she was a blogger on our service, TypePad. ",0.02,0.03,0.01,0.07,0.06,0,0,0,0.89,0.25,1,0.98,0.51
And I want to reinforce three ideas with that rapid-fire presentation.The first is what I like to call a hyper-rational process. ,0.02,0,0.02,0.07,0.06,0,0,0,0.92,0.62,0.56,0.06,0.38
""" ""Well, men are more adulterous!"" And I say, ""Who do you think these men are sleeping with?",0.01,0.01,0.1,0.07,0.06,0,0,0,0.78,0.69,0.68,0.74,0.21
"We just don't know how to show this."" So in a way, we had taken pre-existing needs and shown solutions. ",0.01,0,0.03,0.07,0.06,0,0,0,0.04,0.91,0.52,0.65,0.33
"There was a lot of gunfire, there were a lot of philosophical discussions he had with the gang members. ",0.01,0.01,0.09,0.07,0.06,0,0,0,0.99,0.17,0.84,0.55,0.46
"RickK is a very famous Wikipedian who does an enormous amount of work with vandalism, hoaxes and votes for deletion. ",0.01,0.01,0.02,0.07,0.06,0,0,0,0.78,0.02,0.84,0.12,0.06
"And in the '80s now, they give up Communist planning and they go for market economy, and it moves faster even than social life. ",0.01,0,0.15,0.07,0.06,0,0,0,0.36,0.62,0.51,0,0.76
He stood up and moved out from behind his desk. ,0.08,0.09,0.18,0.07,0.05,0,0,0,0.41,0.31,0.42,0.51,0.26
"This is exactly what you expect, especially if you haven't interacted with a computer before. ",0.05,0.01,0.03,0.07,0.05,0,0,0,0.36,0.99,0.73,0.96,0.81
They're not on my radar. ,0.05,0.03,0.06,0.07,0.05,0,0,0,0.43,0.12,0.41,0.13,0.21
Would you like to see it again?,0.04,0.03,0.05,0.07,0.05,0,0,0,0.13,0.92,0.46,0.97,0.83
So Yochai showed you the graph of what the cost of a printing press was. ,0.03,0.01,0.02,0.07,0.05,0,0,0,0.82,0.52,0.45,0.62,0.89
We have to be careful now that we use this gift wisely and that we avert some of the scenarios that we've talked about. ,0.01,0,0.02,0.07,0.05,0,0,0,0.87,1,0.58,0.99,0.75
"So let's see.So, for instance, we have a lava lamp application here. ",0.01,0.02,0.02,0.07,0.05,0,0,0,0.35,0.83,0.86,0.81,0.81
"It was: ""What percentage of the day and night do you think about this person?",0.01,0.01,0.09,0.07,0.05,0,0,0,0.37,0.72,0.66,0.79,0.7
"We got off the exit, we found a Shoney's restaurant. ",0.01,0.02,0.11,0.07,0.05,0,0,0,0.25,0.71,0.36,0.43,0.75
"And sometimes I get teenagers who promise me that they won't join a gang and just start robbing people, if I only buy some magazine subscriptions from them. ",0.01,0,0.04,0.07,0.05,0,0,0,0.67,0.41,0.08,0.25,0.13
"So this is about getting an economic engine, and then at night, it turns into a movie theater. ",0.01,0,0.1,0.07,0.05,0,0,0,0.81,0.17,0.74,0.16,0.45
"In fact, a lot of this use coming from United States K-12 schools, because anyone who's involved in a school scale back, the first thing that's cut is the music curriculum. ",0.01,0,0.04,0.07,0.05,0,0,0,0.48,0.14,0.06,0.01,0.5
But the question they asked me when they first arrived really stuck in my head: Did I believe that God loved me with all his heart?,0,0,0.04,0.07,0.05,0,0,0,0.49,0.8,0.24,0.96,0.19
I'm Rich Baraniuk and what I'd like to talk a little bit about today are some ideas that I think have just tremendous resonance with all the things that have been talked about the last two days. ,0,0,0.03,0.07,0.05,0,0,0,0.69,0.07,0.69,0.9,0.04
There are people that want to be a part of this global day of film; to be able to provide a platform for independent voices and independent films to get out there. ,0,0,0.02,0.07,0.05,0,0,0,0.63,0.38,0.3,0.68,0.12
" We want to have a community where you can upload ideas, and those ideas can be tested in an earthquake, in flood, in all sorts of austere environments. ",0,0,0.08,0.07,0.05,0,0,0,0.81,0.7,0.32,0.61,0.11
"One of the last 10,000 years and the other, certainly of the last 25 years, that are going to have an impact on these three different brain systems: lust, romantic love and deep attachment to a partner.The first is women working, moving into the workforce. ",0,0,0.02,0.07,0.05,0,0,0,0.91,0.77,0.59,0.07,0.49
We're going to be providing content to them in a whole range of different languages. ,0.02,0,0.03,0.07,0.04,0,0,0,0.78,0.32,0.55,0.49,0.41
"And I think, on the contrary, that it is very important to solving the world's problems that we take evolutionary biology seriously. ",0.02,0,0.04,0.07,0.04,0,0,0,0.81,0.67,0.01,0.05,0.15
"I have always decided that I was going to be an expert on one thing, and I am an expert on this person, and so I write about it. ",0.01,0,0.05,0.07,0.04,0,0,0,0.68,0.11,0.16,0.81,0.05
"And we picked nine finalists, and then those nine finalists were distributed throughout the entire region, and then the community picked their design. ",0.01,0,0.03,0.07,0.04,0,0,0,0.79,0.53,0.47,0.45,0.56
"I'm interested in what I like to call the ""triple bottom line"" that sustainable development can produce. ",0.01,0,0.01,0.07,0.04,0,0,0,0.94,0.1,0.82,0.1,0.49
"And they said, ""Well, then we have a story to tell you.""And they told me this story all about this guy named Lehi, who lived in Jerusalem in 600 BC. ",0,0,0.01,0.07,0.04,0,0,0,0.92,0.91,0.91,1,0.56
""" They said, ""Yes."" It got me thinking about why it is that you fall in love with one person rather than another.That's my current project; it will be my next book. ",0,0,0.01,0.07,0.04,0,0,0,0.88,0.97,0.47,0.99,0.46
So I am a 21st-century translator of technology into products that we use everyday and relate beautifully and naturally with. ,0,0,0.02,0.07,0.04,0,0,0,0.87,0.69,0.84,0.77,0.31
"Because the female parts of the brain are better connected, they tend to collect more pieces of data when they think, put them into more complex patterns, see more options and outcomes. ",0,0,0.02,0.07,0.04,0.24,0,0,0.9,0.39,0.36,0.21,0.3
"They had to fit two criteria: they had to be old enough to be able to understand the whole concept of the age of reason, and not yet seven. ",0,0,0.03,0.07,0.04,0,0,0,0.54,0.22,0,0.03,0.31
There's the fuel you pick. ,0.11,0.02,0.34,0.07,0.03,0,0,0,0.45,0.15,0.59,0.35,0.72
This is the GDP per capita. ,0.06,0.04,0.1,0.07,0.03,0,0,0,0.36,0.28,0.56,0.59,0.48
This is India and this is the most commonly used cooking fuel in India. ,0.04,0,0.11,0.07,0.03,0,0,0,0.51,0.29,0.58,0.25,0.56
